OTU,SampleID,Reads,ConsensusLineage,Kingdom,Clade1,Clade2,Order,Family,Subfamily,Genus,Species,WTU.kingdom,WTU.clade1,WTU.clade2,WTU.order,WTU.family,WTU.subfamily,WTU.genus,WTU.species
OTU763,S008813,2157,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU94346,S008813,1664,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; s__Rumex_crispus;,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Rumex,Rumex_crispus,1,1,11,47,121,178,863,1543
OTU650,S008813,1006,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Papaveraceae; f__Eschscholzioideae; g__Eschscholzia; ; s__,Viridiplantae,Streptophyta,NA,Ranunculales,Papaveraceae,Eschscholzioideae,Eschscholzia,NA,1,1,11,54,134,192,887,1578
OTU11466,S008813,630,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; f__; g__Descurainia; ; s__,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,Descurainia,NA,1,1,10,30,68,97,553,956
OTU97283,S008813,402,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Digitaria; s__Digitaria_ischaemum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Digitaria,Digitaria_ischaemum,1,1,4,20,54,81,432,685
OTU14879,S008813,278,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; ; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Astragalus,NA,1,1,10,33,72,103,656,1164
OTU12232,S008813,245,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Papaveraceae; f__Eschscholzioideae; g__Eschscholzia; s__Eschscholzia_californica;,Viridiplantae,Streptophyta,NA,Ranunculales,Papaveraceae,Eschscholzioideae,Eschscholzia,Eschscholzia_californica,1,1,11,54,134,192,887,1577
OTU78221,S008813,179,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Chamaecrista; s__Chamaecrista_desvauxii;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Chamaecrista,Chamaecrista_desvauxii,1,1,10,33,72,101,599,1023
OTU1859,S008813,155,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Aristidoideae,Aristida,NA,1,1,4,20,54,75,363,541
OTU12618,S008813,139,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; ; f__; g__; s__,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,NA,NA,1,1,10,30,68,97,588,1010
OTU61757,S008813,113,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__Astragalus_polaris;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Astragalus,Astragalus_polaris,1,1,10,33,72,103,656,1160
OTU51283,S008813,71,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Danthonioideae; g__Danthonia; s__Danthonia_decumbens;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Danthonioideae,Danthonia,Danthonia_decumbens,1,1,4,20,54,79,413,646
OTU55764,S008813,70,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_oblita;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Urochloa,Urochloa_oblita,1,1,4,20,54,81,477,793
OTU58181,S008813,67,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_kenyensis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Aristidoideae,Aristida,Aristida_kenyensis,1,1,4,20,54,75,363,536
OTU60927,S008813,59,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_tortuosa;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_tortuosa,1,1,10,33,72,102,650,1143
OTU80517,S008813,29,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Mnesithea; s__Mnesithea_formosa;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Mnesithea,Mnesithea_formosa,1,1,4,20,54,81,454,729
OTU88760,S008813,25,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU49692,S008813,22,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Orcuttia; s__Orcuttia_pilosa;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Orcuttia,Orcuttia_pilosa,1,1,4,20,54,78,397,620
OTU35442,S008813,20,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tragus; s__Tragus_racemosus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tragus,Tragus_racemosus,1,1,4,20,54,78,404,634
OTU1519,S008813,19,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Chrysopogon; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Chrysopogon,NA,1,1,4,20,54,81,430,680
OTU29631,S008813,17,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_longifolia;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Aristidoideae,Aristida,Aristida_longifolia,1,1,4,20,54,75,363,537
OTU67423,S008813,16,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Saccharum; s__Saccharum_spontaneum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Saccharum,Saccharum_spontaneum,1,1,4,20,54,81,466,763
OTU75265,S008813,15,d__Viridiplantae; k__Streptophyta; p__rosids; c__Geraniales; o__Geraniaceae; f__; g__Erodium; s__Erodium_cicutarium;,Viridiplantae,Streptophyta,rosids,Geraniales,Geraniaceae,NA,Erodium,Erodium_cicutarium,1,1,10,35,80,112,703,1273
OTU2259,S008813,14,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,NA,NA,1,1,4,20,54,78,409,640
OTU94020,S008813,13,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; s__Rumex_alpestris;,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Rumex,Rumex_alpestris,1,1,11,47,121,178,863,1542
OTU47141,S008813,13,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Fillaeopsis; s__Fillaeopsis_discophora;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Fillaeopsis,Fillaeopsis_discophora,1,1,10,33,72,102,628,1091
OTU76837,S008813,13,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU93243,S008813,11,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Cenchrus; s__Cenchrus_macrourus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Cenchrus,Cenchrus_macrourus,1,1,4,20,54,81,429,673
OTU22483,S008813,10,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,NA,1,1,10,33,72,102,650,1145
OTU54046,S008813,10,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Ophiuros; s__Ophiuros_exaltatus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Ophiuros,Ophiuros_exaltatus,1,1,4,20,54,81,459,735
OTU64126,S008813,10,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_venosa;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Urochloa,Urochloa_venosa,1,1,4,20,54,81,477,794
OTU30009,S008813,9,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Tetrapleura; s__Tetrapleura_tetraptera;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Tetrapleura,Tetrapleura_tetraptera,1,1,10,33,72,102,649,1130
OTU1370,S008813,8,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; ; s__,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,NA,1,1,10,34,77,109,694,1263
OTU86656,S008813,8,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU96086,S008813,8,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Piptadenia; s__Piptadenia_floribunda;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Piptadenia,Piptadenia_floribunda,1,1,10,33,72,102,640,1113
OTU6244,S008813,8,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Stephanomeria; ; s__,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Cichorioideae,Stephanomeria,NA,1,1,1,3,4,7,150,208
OTU409,S008813,7,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,NA,1,1,4,20,54,81,464,760
OTU1752,S008813,7,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,NA,NA,1,1,10,33,72,101,620,1061
OTU1284,S008813,7,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Lupinus; ; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Lupinus,NA,1,1,10,33,72,103,670,1190
OTU101170,S008813,7,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Gynerium; s__Gynerium_sagittatum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Gynerium,Gynerium_sagittatum,1,1,4,20,54,81,439,703
OTU53045,S008813,6,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Thyridolepis; s__Thyridolepis_mitchelliana;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Thyridolepis,Thyridolepis_mitchelliana,1,1,4,20,54,81,475,784
OTU37026,S008813,6,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Blepharidachne; s__Blepharidachne_kingii;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Blepharidachne,Blepharidachne_kingii,1,1,4,20,54,78,374,552
OTU97703,S008813,6,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Scleropogon; s__Scleropogon_brevifolius;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Scleropogon,Scleropogon_brevifolius,1,1,4,20,54,78,401,625
OTU38683,S008813,6,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Apluda; s__Apluda_mutica;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Apluda,Apluda_mutica,1,1,4,20,54,81,422,657
OTU87252,S008813,6,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tragus; s__Tragus_racemosus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tragus,Tragus_racemosus,1,1,4,20,54,78,404,634
OTU18620,S008813,5,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Megathyrsus; s__Megathyrsus_maximus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Megathyrsus,Megathyrsus_maximus,1,1,4,20,54,81,450,720
OTU46062,S008813,5,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Mimosa; s__Mimosa_similis;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Mimosa,Mimosa_similis,1,1,10,33,72,102,634,1102
OTU20785,S008813,5,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,NA,1,1,10,33,72,102,650,1145
OTU65409,S008813,5,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU30010,S008813,5,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pentaclethra; s__Pentaclethra_eetveldeana;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Pentaclethra,Pentaclethra_eetveldeana,1,1,10,33,72,102,639,1109
OTU71762,S008813,5,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_xanthophloea;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_xanthophloea,1,1,10,33,72,102,650,1144
OTU666,S008813,4,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; ; s__,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,NA,1,1,10,34,77,109,694,1263
OTU3013,S008813,4,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; ; s__,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Rumex,NA,1,1,11,47,121,178,863,1545
OTU35001,S008813,4,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_permixta;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_permixta,1,1,10,33,72,102,650,1139
OTU2571,S008813,4,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; ; f__; g__; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,NA,NA,NA,1,1,10,33,72,104,682,1222
OTU26541,S008813,4,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Diptychandra; s__Diptychandra_aurantiaca;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Diptychandra,Diptychandra_aurantiaca,1,1,10,33,72,101,602,1031
OTU23611,S008813,4,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Arundinella; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Arundinella,NA,1,1,4,20,54,81,425,660
OTU1648,S008813,3,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU107196,S008813,3,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Ageratina; s__Ageratina_adenophora;,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Ageratina,Ageratina_adenophora,1,1,1,3,4,5,15,23
OTU52261,S008813,3,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_alba;,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,Quercus_alba,1,1,10,34,77,109,694,1248
OTU68030,S008813,3,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Parkia; s__Parkia_timoriana;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Parkia,Parkia_timoriana,1,1,10,33,72,102,638,1108
OTU85569,S008813,3,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU89489,S008813,3,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Haematoxylum; s__Haematoxylum_dinteri;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Haematoxylum,Haematoxylum_dinteri,1,1,10,33,72,101,603,1032
OTU35328,S008813,3,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Leptochloa; s__Leptochloa_crinita;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Leptochloa,Leptochloa_crinita,1,1,4,20,54,78,393,606
OTU53175,S008813,3,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU38397,S008813,3,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_malacodes;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_malacodes,1,1,4,20,54,81,455,731
OTU11114,S008813,3,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Oxytropis; s__Oxytropis_deflexa;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Oxytropis,Oxytropis_deflexa,1,1,10,33,72,103,674,1200
OTU47832,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tragus; s__Tragus_berteronianus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tragus,Tragus_berteronianus,1,1,4,20,54,78,404,632
OTU93436,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; s__Paspalum_erianthum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,Paspalum_erianthum,1,1,4,20,54,81,464,753
OTU38375,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Setaria; s__Setaria_palmifolia;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Setaria,Setaria_palmifolia,1,1,4,20,54,81,469,770
OTU40344,S008813,2,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__Astragalus_rhizanthus;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Astragalus,Astragalus_rhizanthus,1,1,10,33,72,103,656,1161
OTU37106,S008813,2,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Pilosella; s__Pilosella_officinarum;,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Cichorioideae,Pilosella,Pilosella_officinarum,1,1,1,3,4,7,147,205
OTU5539,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Distichlis; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Distichlis,NA,1,1,4,20,54,78,385,578
OTU64968,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Hildaea; s__Hildaea_ruprechtii;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Hildaea,Hildaea_ruprechtii,1,1,4,20,54,81,441,706
OTU45793,S008813,2,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_hockii;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_hockii,1,1,10,33,72,102,650,1136
OTU104093,S008813,2,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_borleae;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_borleae,1,1,10,33,72,102,650,1132
OTU83285,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Gynerium; s__Gynerium_sagittatum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Gynerium,Gynerium_sagittatum,1,1,4,20,54,81,439,703
OTU92029,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tripogon; s__Tripogon_trifidus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tripogon,Tripogon_trifidus,1,1,4,20,54,78,405,635
OTU37464,S008813,2,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Pentaclethra; s__Pentaclethra_macrophylla;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Pentaclethra,Pentaclethra_macrophylla,1,1,10,33,72,102,639,1110
OTU1790,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Echinochloa; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Echinochloa,NA,1,1,4,20,54,81,433,692
OTU62539,S008813,2,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Oxytropis; s__Oxytropis_jacquinii;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Oxytropis,Oxytropis_jacquinii,1,1,10,33,72,103,674,1203
OTU100546,S008813,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Hyparrhenia; s__Hyparrhenia_diplandra;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Hyparrhenia,Hyparrhenia_diplandra,1,1,4,20,54,81,444,710
OTU46357,S008813,2,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Parkinsonia; s__Parkinsonia_africana;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Parkinsonia,Parkinsonia_africana,1,1,10,33,72,101,610,1041
OTU60799,S008813,2,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Castanopsis; s__Castanopsis_longzhouica;,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Castanopsis,Castanopsis_longzhouica,1,1,10,34,77,109,691,1239
OTU12347,S008813,1,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Bidens; ; s__,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Bidens,NA,1,1,1,3,4,5,30,44
OTU86228,S008813,1,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Heliotropiaceae; f__; g__Tournefortia; s__Tournefortia_volubilis;,Viridiplantae,Streptophyta,asterids,Boraginales,Heliotropiaceae,NA,Tournefortia,Tournefortia_volubilis,1,1,1,4,12,19,202,294
OTU564,S008813,1,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Heliotropiaceae; ; f__; g__; s__,Viridiplantae,Streptophyta,asterids,Boraginales,Heliotropiaceae,NA,NA,NA,1,1,1,4,12,19,203,296
OTU42816,S008813,1,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_adoensis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Aristidoideae,Aristida,Aristida_adoensis,1,1,4,20,54,75,363,530
OTU77105,S008813,1,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Yakirra; s__Yakirra_pauciflora;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Yakirra,Yakirra_pauciflora,1,1,4,20,54,81,478,796
OTU64969,S008813,1,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Hildaea; s__Hildaea_ruprechtii;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Hildaea,Hildaea_ruprechtii,1,1,4,20,54,81,441,706
OTU13122,S008813,1,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,NA,1,1,4,20,54,81,464,760
