OTU,SampleID,Reads,DataFrame,ConsensusLineage,Domain,Clade1,Class,Order,Family,Genus,Species,WTU.domain,WTU.clade1,WTU.class,WTU.order,WTU.family,WTU.genus,WTU.species
OTU5293,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Muhlenbergia; s__Muhlenbergia porteri,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Muhlenbergia,Muhlenbergia porteri,2,4,4,7,10,52,114
OTU577,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus polycladus,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Astragalus,Astragalus polycladus,2,4,5,19,38,190,470
OTU8746,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU9488,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Allionia; s__Allionia incarnata,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Allionia,Allionia incarnata,2,4,5,13,28,165,372
OTU14483,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Boerhavia; s__Boerhavia erecta,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Boerhavia,Boerhavia erecta,2,4,5,13,28,166,376
OTU1621,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus lydius,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Astragalus,Astragalus lydius,2,4,5,19,38,190,461
OTU19146,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Allionia; s__Allionia incarnata,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Allionia,Allionia incarnata,2,4,5,13,28,165,372
OTU14613,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU22263,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU1284,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Boerhavia; s__Boerhavia erecta,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Boerhavia,Boerhavia erecta,2,4,5,13,28,166,376
OTU12428,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU14484,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU11166,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malvales; f__Malvaceae; g__Sida; s__Sida acuta,Eukaryota,Streptophyta,NA,Malvales,Malvaceae,Sida,Sida acuta,2,4,5,25,52,237,597
OTU23419,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU14850,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU12056,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU11427,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU20262,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU19454,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malvales; f__Malvaceae; g__Sida; s__Sida acuta,Eukaryota,Streptophyta,NA,Malvales,Malvaceae,Sida,Sida acuta,2,4,5,25,52,237,597
OTU7307,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU9236,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU1199,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU5644,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Allionia; s__Allionia incarnata,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Allionia,Allionia incarnata,2,4,5,13,28,165,372
OTU23633,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU21507,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU5771,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malvales; f__Malvaceae; g__Sida; s__Sida acuta,Eukaryota,Streptophyta,NA,Malvales,Malvaceae,Sida,Sida acuta,2,4,5,25,52,237,597
OTU15927,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malvales; f__Malvaceae; g__Sida; s__Sida acuta,Eukaryota,Streptophyta,NA,Malvales,Malvaceae,Sida,Sida acuta,2,4,5,25,52,237,597
OTU23146,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Boerhavia; s__Boerhavia erecta,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Boerhavia,Boerhavia erecta,2,4,5,13,28,166,376
OTU10703,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU18155,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU9004,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU8771,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Allionia; s__Allionia incarnata,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Allionia,Allionia incarnata,2,4,5,13,28,165,372
OTU11607,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU11247,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU8322,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU16472,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malvales; f__Malvaceae; g__Sida; s__Sida spinosa,Eukaryota,Streptophyta,NA,Malvales,Malvaceae,Sida,Sida spinosa,2,4,5,25,52,237,601
OTU17847,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU22468,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU14741,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU17391,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU5813,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU15010,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Boerhavia; s__Boerhavia erecta,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Boerhavia,Boerhavia erecta,2,4,5,13,28,166,376
OTU14590,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU20331,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Panicum; s__Panicum hirticaule,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum hirticaule,2,4,4,7,10,55,121
OTU11720,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU20590,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU17010,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU20404,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU20885,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU21617,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU22997,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU15432,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malvales; f__Malvaceae; g__Sida; s__Sida acuta,Eukaryota,Streptophyta,NA,Malvales,Malvaceae,Sida,Sida acuta,2,4,5,25,52,237,597
OTU19633,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Boerhavia; s__Boerhavia erecta,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Boerhavia,Boerhavia erecta,2,4,5,13,28,166,376
OTU13114,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Allionia; s__Allionia incarnata,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Allionia,Allionia incarnata,2,4,5,13,28,165,372
OTU19532,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU8713,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU18260,S008835,1,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU63,S008836,4136,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU126,S008836,1187,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Ambrosia; s__Ambrosia artemisiifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU92,S008836,759,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU19,S008836,378,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Munroa; s__Munroa pulchella,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Munroa,Munroa pulchella,2,4,4,7,10,53,116
OTU24,S008836,345,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua barbata,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua barbata,2,4,4,7,10,26,56
OTU2,S008836,333,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU11,S008836,211,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Vachellia; s__Vachellia constricta,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Vachellia,Vachellia constricta,2,4,5,19,38,208,535
OTU13,S008836,152,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus johnstonii,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Astragalus,Astragalus johnstonii,2,4,5,19,38,190,455
OTU32,S008836,104,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Physaria; s__Physaria subumbellata,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Physaria,Physaria subumbellata,2,4,5,12,18,136,304
OTU435,S008836,87,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Encelia; s__Encelia halimifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia halimifolia,2,4,5,10,13,85,183
OTU113,S008836,76,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Vachellia; s__Vachellia constricta,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Vachellia,Vachellia constricta,2,4,5,19,38,208,535
OTU216,S008836,68,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU12,S008836,47,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Nyctaginaceae; g__Boerhavia; s__Boerhavia erecta,Eukaryota,Streptophyta,NA,Caryophyllales,Nyctaginaceae,Boerhavia,Boerhavia erecta,2,4,5,13,28,166,376
OTU347,S008836,47,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU741,S008836,47,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Ambrosia; s__Ambrosia artemisiifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU9,S008836,44,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malpighiales; f__Euphorbiaceae; g__Euphorbia; s__Euphorbia serpillifolia,Eukaryota,Streptophyta,NA,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia serpillifolia,2,4,5,24,50,232,589
OTU251,S008836,42,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Ambrosia; s__Ambrosia artemisiifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU768,S008836,38,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU724,S008836,34,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU617,S008836,32,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Ambrosia; s__Ambrosia artemisiifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU614,S008836,29,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU866,S008836,28,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU753,S008836,28,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU997,S008836,28,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Ambrosia; s__Ambrosia artemisiifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU750,S008836,26,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Encelia; s__Encelia halimifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia halimifolia,2,4,5,10,13,85,183
OTU1303,S008836,26,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Encelia; s__Encelia halimifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia halimifolia,2,4,5,10,13,85,183
OTU1133,S008836,26,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Malpighiales; f__Euphorbiaceae; g__Euphorbia; s__Euphorbia serpillifolia,Eukaryota,Streptophyta,NA,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia serpillifolia,2,4,5,24,50,232,589
OTU795,S008836,25,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU460,S008836,25,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU802,S008836,24,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Zaluzania; s__Zaluzania megacephala,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Zaluzania,Zaluzania megacephala,2,4,5,10,13,119,253
OTU176,S008836,23,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Encelia; s__Encelia farinosa,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia farinosa,2,4,5,10,13,85,182
OTU4,S008836,22,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Chenopodiaceae; g__Chenopodium; s__Chenopodium acuminatum,Eukaryota,Streptophyta,NA,Caryophyllales,Chenopodiaceae,Chenopodium,Chenopodium acuminatum,2,4,5,13,24,152,344
OTU1007,S008836,22,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Encelia; s__Encelia halimifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia halimifolia,2,4,5,10,13,85,183
OTU1135,S008836,22,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Ambrosia; s__Ambrosia artemisiifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU1224,S008836,22,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1259,S008836,18,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1041,S008836,17,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1332,S008836,17,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Ambrosia; s__Ambrosia artemisiifolia,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU1136,S008836,17,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1618,S008836,16,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1197,S008836,16,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1324,S008836,15,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Monactis; s__Monactis pallatangensis,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
