OTU,SampleID,Reads,DataFrame,ConsensusLineage,Domain,Clade1,Class,Order,Family,Genus,Species,WTU.domain,WTU.clade1,WTU.class,WTU.order,WTU.family,WTU.genus,WTU.species
OTU4524,S008813,4,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU12429,S008813,4,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU646,S008813,3,spring2017,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas tolaasii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,1,3,3,3,3,3,3
OTU775,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU2680,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU1504,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU2126,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU1083,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU1418,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU10598,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU21787,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU8121,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2937,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU2293,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU3910,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2442,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU3881,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU20632,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU11341,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Polygonaceae; g__Rumex; s__Rumex tenax,Eukaryota,Streptophyta,NA,Caryophyllales,Polygonaceae,Rumex,Rumex tenax,2,4,5,13,29,171,391
OTU7040,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU9330,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU22673,S008813,3,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU932,S008813,2,spring2017,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces succiniciruminis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces succiniciruminis,1,1,1,1,1,1,1
OTU1044,S008813,2,spring2017,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas tolaasii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,1,3,3,3,3,3,3
OTU832,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU870,S008813,2,spring2017,k__None; p__None; c__None; o__None; f__None; g__None; s__synthetic construct,NA,NA,NA,NA,NA,NA,synthetic construct,4,7,8,39,74,272,686
OTU1172,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU940,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU3056,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU3279,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU951,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU18954,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU21905,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU11310,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium daucoides,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium daucoides,2,4,5,22,43,214,549
OTU21704,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU1081,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU853,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU17723,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU9869,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU20799,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU11687,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU17610,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU6764,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU2436,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU3918,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU7593,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU1893,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU6181,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU3775,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU11362,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU11191,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU5928,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU14717,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU21260,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU6423,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU18711,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU15032,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU21744,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU8997,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU9203,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU9475,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU12585,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU19797,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU13223,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU19273,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU20220,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU20363,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU18543,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU20780,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU17422,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU18205,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU19782,S008813,2,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU13,S008813,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus johnstonii,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Astragalus,Astragalus johnstonii,2,4,5,19,38,190,455
OTU519,S008813,1,spring2017,k__None; p__None; c__None; o__None; f__None; g__None; s__Cloning vector pOmni,NA,NA,NA,NA,NA,NA,Cloning vector pOmni,4,7,8,39,74,272,685
OTU894,S008813,1,spring2017,k__None; p__None; c__None; o__None; f__None; g__None; s__synthetic construct,NA,NA,NA,NA,NA,NA,synthetic construct,4,7,8,39,74,272,686
OTU2028,S008813,1,spring2017,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas tolaasii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,1,3,3,3,3,3,3
OTU1531,S008813,1,spring2017,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas tolaasii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,1,3,3,3,3,3,3
OTU328,S008813,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus lydius,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Astragalus,Astragalus lydius,2,4,5,19,38,190,461
OTU1270,S008813,1,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus lydius,Eukaryota,Streptophyta,NA,Fabales,Fabaceae,Astragalus,Astragalus lydius,2,4,5,19,38,190,461
